Field,ID,RA,DEC,z_Spec,Environment,Delta_Gal,Delta_Gal_err,M_UV,M_UV_err,beta_UV,beta_UV_err,Stellar_Mass_Low,Stellar_Mass_Med,Stellar_Mass_Upp,SFR_100_Low,SFR_100_Med,SFR_100_Upp
GN,62,189.128472,62.214103,5.0349,Field,-0.457603,0.318555,-19.266125,0.124876,-1.942205,0.348715,8.714798437942472,8.87181004233654,8.965170765011036,0.0553347290341985,0.3441496372355964,0.5940943021750993
GN,269,189.07468,62.217998,5.1758,JADES-GN-OD-5.191,3.975124,0.308416,-18.174417,0.225285,-2.502978,0.71962,7.742473321492361,7.909402448650944,8.050984093460604,-0.513698072972532,-0.2708960316093028,-0.024097742713635368
GN,395,189.120785,62.21954,5.4335,Field,1.808989,0.257752,-17.959251,0.188739,-2.087924,0.366365,7.407244937259311,7.619142290195539,7.827262419945925,-0.7725288895395254,-0.5185186726058134,-0.27102681465850337
GN,699,189.072121,62.22195,6.5111,Field,0.257862,0.052393,-19.757457,0.060719,-2.221724,0.159542,8.053497894698564,8.120011462184562,8.199034840569457,0.060377245756060356,0.15882406788236586,0.22431600383290493
GN,741,189.074101,62.222299,7.0305,Field,2.463203,0.059472,-19.195343,0.092407,-2.274691,0.283351,7.943304043507608,8.079993077794072,8.222620647104053,-0.18823149773197634,0.002811156495503031,0.18718097458187216
GN,847,189.140553,62.223028,5.1738,JADES-GN-OD-5.191,9.756609,0.312502,-19.394396,0.055377,-2.162626,0.167538,8.136866722007966,8.429966238816844,8.711821134338864,-0.23722962358830105,0.059248997361292466,0.3808746172104326
GN,905,189.073688,62.223451,7.0323,Field,2.401361,0.057035,-20.349209,0.043934,-2.035265,0.131184,9.088317386059458,9.25504017582508,9.442364923332423,1.021640264501756,1.2647189496211817,1.3875259005849858
GN,934,189.177967,62.223708,6.5495,Field,1.257336,0.05686,-19.975908,0.026664,-2.304095,0.07268,8.355797490394044,8.46634440050914,8.574131544329669,0.24895002448031628,0.44936776592088873,0.635320691572485
GN,1054,189.114801,62.224427,5.9794,Field,4.030181,0.057271,-20.846279,0.036335,-1.854527,0.081154,9.44070619010662,9.547015029938134,9.638137646474835,1.1396742511968574,1.3245899273805726,1.526080855943215
GN,1093,189.179745,62.224627,5.5962,Field,2.822004,0.195257,-17.808109,0.128029,-1.948339,0.249605,8.92529439813697,9.142119228028745,9.277250206937442,1.0439335405788295,1.1752202485807979,1.2306710820355162
GN,1167,189.119785,62.225008,5.1706,JADES-GN-OD-5.191,5.26591,0.301893,-18.923037,0.083947,-1.847296,0.248094,7.8978991936975635,8.119071119524364,8.545559114136536,-0.6553246982454561,-0.1232618052287085,0.20511293160762922
GN,1239,189.135403,62.225364,5.1804,JADES-GN-OD-5.191,12.323731,0.321243,-21.005532,0.025451,-2.002859,0.075616,8.620297207485656,9.145872490072902,9.3885373021173,0.3308912425418609,0.6288368211535257,1.1977784415580168
GN,1511,189.132622,62.226732,5.1787,JADES-GN-OD-5.191,12.056271,0.314986,-19.987617,0.048548,-2.054836,0.150875,8.674394149634125,9.080082405936874,9.200763407848553,0.2709991667993423,0.5347059380786919,0.922623612073246
